Codigo;Producto;CantVend;CantComp;Diferencia
AAA000326;Acrílico Ad 60ml Rojo Ceibo;14;0;-14
AAA000327;Acrílico Ad 60ml Rojo Claro;9;0;-9
AAA000328;Acrílico Ad 60ml Rojo de Cadmio;21;0;-21
AAA000329;Acrílico Ad 60ml Rojo Fuego;27;0;-27
AAA000330;Acrílico Ad 60ml Rojo Oxido;2;0;-2
AAA000331;Acrílico Ad 60ml Rosa;2;0;-2
AAA000332;Acrílico Ad 60ml Rosa Bebe;2;0;-2
AAA000333;Acrílico Ad 60ml Rosa Campestre;2;0;-2
AAA000334;Acrílico Ad 60ml Rosa Chicle;11;0;-11
AAA000335;Acrílico Ad 60ml Rosa Country;13;0;-13
AAA000336;Acrílico Ad 60ml Rosa Pálido;7;0;-7
AAA000337;Acrílico Ad 60ml Rosa Primavera;6;0;-6
AAA000338;Acrílico Ad 60ml Rosa Viejo;12;0;-12
AAA000339;Acrílico Ad 60ml Siena Natural;15;0;-15
AAA000340;Acrílico Ad 60ml Siena Tostada;6;0;-6
AAA000341;Acrílico Ad 60ml Sombra Natural;1;0;-1
AAA000342;Acrílico Ad 60ml Sombra Tostada;12;0;-12
AAA000343;Acrílico Ad 60ml Topacio;8;0;-8
AAA000344;Acrílico Ad 60ml Turquesa ;2;0;-2
AAA000345;Acrílico Ad 60ml Turquesa Claro;7;0;-7
AAA000347;Acrílico Ad 60ml Verde Agua;4;0;-4
AAA000348;Acrílico Ad 60ml Verde Bebe;5;0;-5
AAA000349;Acrílico Ad 60ml Verde de Cadmio;26;0;-26
AAA000350;Acrílico Ad 60ml Verde Foresta;9;0;-9
AAA000351;Acrílico Ad 60ml Verde Ftalo;14;0;-14
AAA000352;Acrílico Ad 60ml Verde Hoja;32;0;-32
AAA000353;Acrílico Ad 60ml Verde Manzana ;17;0;-17
AAA000354;Acrílico Ad 60ml Verde Musgo;4;0;-4
AAA000355;Acrílico Ad 60ml Verde Oliva;6;0;-6
AAA000356;Acrílico Ad 60ml Verde Oxido de Cromo;7;0;-7
AAA000357;Acrílico Ad 60ml Verde Pastel;1;0;-1
AAA000358;Acrílico Ad 60ml Verde Pino;1;0;-1
AAA000359;Acrílico Ad 60ml Violeta Colonial;2;0;-2
AAA000360;Acrílico Ad 60ml Violeta Permanente;3;0;-3
AAA000361;Acrílico Ad 60ml Violeta Rojizo;5;0;-5
