Codigo;Producto;CantVend;CantComp;Diferencia
AAA006485;Cinta Raso Doble Faz Cordón de Oro N°3 Celeste Pastel;35,39;0;-35,39
AAA006487;Cinta Raso Doble Faz Cordón de Oro N°3 Coral C12;18;0;-18
AAA006488;Cinta Raso Doble Faz Cordón de Oro N°3 Francia;59,07;0;-59,07
AAA006489;Cinta Raso Doble Faz Cordón de Oro N°3 Fucsia;61,17;0;-61,17
AAA006490;Cinta Raso Doble Faz Cordón de Oro N°3 Gris C42;20,62;0;-20,62
AAA006491;Cinta Raso Doble Faz Cordón de Oro N°3 Gris Perla;1;0;-1
AAA006492;Cinta Raso Doble Faz Cordón de Oro N°3 Habano C39;4,5;0;-4,5
AAA006493;Cinta Raso Doble Faz Cordón de Oro N°3 Crema C4;3,45;0;-3,45
AAA006494;Cinta Raso Doble Faz Cordón de Oro N°3 Lila;28;0;-28
AAA006495;Cinta Raso Doble Faz Cordón de Oro N°3 Madre Selva C13;6;0;-6
AAA006497;Cinta Raso Doble Faz Cordón de Oro N°3 Marino;40,2;0;-40,2
AAA006498;Cinta Raso Doble Faz Cordón de Oro N°3 Marrón C40;3;0;-3
AAA006499;Cinta Raso Doble Faz Cordón de Oro N°3 Mostaza C38;17,56;0;-17,56
AAA006500;Cinta Raso Doble Faz Cordón de Oro N°3 Naranja;29,8;0;-29,8
AAA006501;Cinta Raso Doble Faz Cordón de Oro N°3 Natural C3;2,5;0;-2,5
AAA006502;Cinta Raso Doble Faz Cordón de Oro N°3 Negro;77,72;0;-77,72
AAA006503;Cinta Raso Doble Faz Cordón de Oro N°3 Obispo C24;9,7;0;-9,7
AAA006504;Cinta Raso Doble Faz Cordón de Oro N°3 Agua Marina;40;0;-40
AAA006505;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Esmeralda C35;7;0;-7
AAA006506;Cinta Raso Doble Faz Cordón de Oro N°3 Amarillo Flúo C19;6,7;0;-6,7
AAA006507;Cinta Raso Doble Faz Cordón de Oro N°3 Rojo;138,245555;0;-138,245555
AAA006508;Cinta Raso Doble Faz Cordón de Oro N°3 Rosa Bebe;45,15;0;-45,15
AAA006509;Cinta Raso Doble Faz Cordón de Oro N°3 Rosa Dior;27,03;0;-27,03
AAA006510;Cinta Raso Doble Faz Cordón de Oro N°3 Rosa Viejo;4,5;0;-4,5
AAA006512;Cinta Raso Doble Faz Cordón de Oro N°3 Salmon C6;6;0;-6
AAA006513;Cinta Raso Doble Faz Cordón de Oro N°3 Turquesa;30,4;0;-30,4
AAA006514;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Flúo C33;12,75;0;-12,75
AAA006515;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Agua;1;0;-1
AAA006516;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Brillante C34;12,58;0;-12,58
AAA006517;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Mar C31;7,4;0;-7,4
AAA006518;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Manzana;20,1;0;-20,1
AAA006519;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Musgo C37;7,5;0;-7,5
AAA006520;Cinta Raso Doble Faz Cordón de Oro N°3 Verde Oscuro C36;4,65;0;-4,65
AAA006521;Cinta Raso Doble Faz Cordón de Oro N°3 Violeta;26,77;0;-26,77
AAA006523;Cinta Raso Doble Faz Cordón de Oro N°5 Amarillo Limón;9,9;0;-9,9
AAA006524;Cinta Raso Doble Faz Cordón de Oro N°5 Amarillo Oro;35,91;0;-35,91
AAA006525;Cinta Raso Doble Faz Cordón de Oro N°5 Amarillo Patito C14;3;0;-3
AAA006526;Cinta Raso Doble Faz Cordón de Oro N°5 Beige Oscuro;11,9;0;-11,9
AAA006527;Cinta Raso Doble Faz Cordón de Oro N°5 Blanco;146,35;0;-146,35
AAA006528;Cinta Raso Doble Faz Cordón de Oro N°5 Bordo;43,933;0;-43,933
AAA006529;Cinta Raso Doble Faz Cordón de Oro N°5 Celeste;10,04;0;-10,04
AAA006530;Cinta Raso Doble Faz Cordón de Oro N°5 Celeste Pastel C24;24,43;0;-24,43
AAA006531;Cinta Raso Doble Faz Cordón de Oro N°5 Chocolate C38;8;0;-8
AAA006532;Cinta Raso Doble Faz Cordón de Oro N°5 Coral;7,92;0;-7,92
AAA006533;Cinta Raso Doble Faz Cordón de Oro N°5 Francia;96,21;0;-96,21
AAA006534;Cinta Raso Doble Faz Cordón de Oro N°5 Fucsia;70,61;0;-70,61
AAA006536;Cinta Raso Doble Faz Cordón de Oro N°5 Rosa Egipcio C5;13;0;-13
AAA006537;Cinta Raso Doble Faz Cordón de Oro N°5 Rosa Flúo C8;1;0;-1
AAA006538;Cinta Raso Doble Faz Cordón de Oro N°5 Naranja Flúo C19;7;0;-7
AAA006539;Cinta Raso Doble Faz Cordón de Oro N°5 Lila C20;11,65;0;-11,65
AAA006540;Cinta Raso Doble Faz Cordón de Oro N°5 Madre Selva C10;9;0;-9
AAA006542;Cinta Raso Doble Faz Cordón de Oro N°5 Marino;150,42;0;-150,42
AAA006543;Cinta Raso Doble Faz Cordón de Oro N°5 Marrón;4;0;-4
AAA006544;Cinta Raso Doble Faz Cordón de Oro N°5 Mostaza C36;51,04;0;-51,04
AAA006545;Cinta Raso Doble Faz Cordón de Oro N°5 Naranja C18;12;0;-12
AAA006546;Cinta Raso Doble Faz Cordón de Oro N°5 Natural C2;6;0;-6
AAA006547;Cinta Raso Doble Faz Cordón de Oro N°5 Negro;52,45;0;-52,45
AAA006548;Cinta Raso Doble Faz Cordon de Oro N°5 Obispo C22;2;0;-2
AAA006549;Cinta Raso Doble Faz Cordón de Oro N°5 Verde Fluo C32;14,4;0;-14,4
AAA006550;Cinta Raso Doble Faz Cordón de Oro N°5 Petróleo C35;4,3;0;-4,3
AAA006551;Cinta Raso Doble Faz Cordón de Oro N°5 Multicolor C40;5,88;0;-5,88
AAA006552;Cinta Raso Doble Faz Cordón de Oro N°5 Rojo;205,651;0;-205,651
AAA006553;Cinta Raso Doble Faz Cordón de Oro N°5 Rosa Bebe;12,46;0;-12,46
AAA006554;Cinta Raso Doble Faz Cordón de Oro N°5 Rosa Dior;16,51;0;-16,51
AAA006555;Cinta Raso Doble Faz Cordón de Oro N°5 Rosa Viejo;2;0;-2
AAA006556;Cinta Raso Doble Faz Cordón de Oro N°5 Rubí C12;9,3;0;-9,3
AAA006557;Cinta Raso Doble Faz Cordón de Oro N°5 Salmon;3;0;-3
AAA006558;Cinta Raso Doble Faz Cordón de Oro N°5 Turquesa;22,5;0;-22,5
AAA006560;Cinta Raso Doble Faz Cordón de Oro N°5 Verde Agua;1;0;-1
AAA006561;Cinta Raso Doble Faz Cordón de Oro N°5 Verde Brillante;37,53;0;-37,53
AAA006562;Cinta Raso Doble Faz Cordón de Oro N°5 Verde Esmeralda C34;17,5;0;-17,5
AAA006564;Cinta Raso Doble Faz Cordón de Oro N°5 Verde Mar C29;8;0;-8
AAA006565;Cinta Raso Doble Faz Cordón de Oro N°5 Verde Oscuro;12,84;0;-12,84
AAA006566;Cinta Raso Doble Faz Cordón de Oro N°5 Violeta;31,41;0;-31,41
AAA006567;Cinta Raso Doble Faz Cordón de Oro N°9 Aguamarina C29;60;0;-60
AAA006568;Cinta Raso Doble Faz Cordón de Oro N°9 Amarillo Limón C15;19,06;0;-19,06
AAA006569;Cinta Raso Doble Faz Cordón de Oro N°9 Amarillo Oro;28,27;0;-28,27
AAA006570;Cinta Raso Doble Faz Cordón de Oro N°9 Amarillo Patito C14;3,5;0;-3,5
AAA006571;Cinta Raso Doble Faz Cordón de Oro N°9 Beige Medio;13,27;0;-13,27
AAA006572;Cinta Raso Doble Faz Cordón de Oro N°9 Blanco;116,82;0;-116,82
AAA006573;Cinta Raso Doble Faz Cordón de Oro N°9 Bordo;12,5;0;-12,5
AAA006574;Cinta Raso Doble Faz Cordón de Oro N°9 Celeste;6;0;-6
AAA006575;Cinta Raso Doble Faz Cordón de Oro N°9 Celeste Pastel C24;19,04;0;-19,04
AAA006576;Cinta Raso Doble Faz Cordón de Oro N°9 Chocolate C35;3;0;-3
AAA006577;Cinta Raso Doble Faz Cordón de Oro N°9 Coral;13;0;-13
AAA006578;Cinta Raso Doble Faz Cordón de Oro N°9 Francia;63,24;0;-63,24
AAA006579;Cinta Raso Doble Faz Cordón de Oro N°9 Fucsia;41,8182;0;-41,8182
AAA006580;Cinta Raso Doble Faz Cordón de Oro N°9 Gris C36;31;0;-31
AAA006581;Cinta Raso Doble Faz Cordón de Oro N°9 Rosa Fluo C9;11;0;-11
AAA006584;Cinta Raso Doble Faz Cordón de Oro N°9 Lila C20;15,9;0;-15,9
AAA006586;Cinta Raso Doble Faz Cordón de Oro N°9 Manteca C2;14,6;0;-14,6
AAA006587;Cinta Raso Doble Faz Cordón de Oro N°9 Marino;21;0;-21
AAA006588;Cinta Raso Doble Faz Cordón de Oro N°9 Marrón;3,5;0;-3,5
AAA006589;Cinta Raso Doble Faz Cordón de Oro N°9 Mostaza C33;23,1;0;-23,1
AAA006590;Cinta Raso Doble Faz Cordón de Oro N°9 Naranja C18;11,7;0;-11,7
AAA006592;Cinta Raso Doble Faz Cordón de Oro N°9 Negro;69,48;0;-69,48
AAA006593;Cinta Raso Doble Faz Cordón de Oro N°9 Obispo C22;18,64;0;-18,64
AAA006594;Cinta Raso Doble Faz Cordón de Oro N°9 Naranja Flúo C19;1;0;-1
AAA006596;Cinta Raso Doble Faz Cordón de Oro N°9 Rosa Egipcio C7;5,25;0;-5,25
AAA006597;Cinta Raso Doble Faz Cordón de Oro N°9 Rojo;146,18;0;-146,18
AAA006598;Cinta Raso Doble Faz Cordón de Oro N°9 Rosa Bebe;23,84;0;-23,84
AAA006599;Cinta Raso Doble Faz Cordón de Oro N°9 Rosa Dior;22,85;0;-22,85
AAA006600;Cinta Raso Doble Faz Cordón de Oro N°9 Amarillo Flúo C17;11,5;0;-11,5
AAA006601;Cinta Raso Doble Faz Cordón de Oro N°9 Rubí;10,93;0;-10,93
AAA006603;Cinta Raso Doble Faz Cordón de Oro N°9 Turquesa;15;0;-15
AAA006605;Cinta Raso Doble Faz Cordón de Oro N°9 Verde Agua;12;0;-12
AAA006606;Cinta Raso Doble Faz Cordón de Oro N°9 Verde Brillante C31;24,06;0;-24,06
AAA006607;Cinta Raso Doble Faz Cordón de Oro N°9 Verde Fluo;8;0;-8
AAA006608;Cinta Raso Doble Faz Cordón de Oro N°9 Verde Manzana C30;1;0;-1
AAA006609;Cinta Raso Doble Faz Cordón de Oro N°9 Verde Mar C28;2,25;0;-2,25
AAA006610;Cinta Raso Doble Faz Cordón de Oro N°9 Verde Oscuro;5,7;0;-5,7
AAA006611;Cinta Raso Doble Faz Cordón de Oro N°9 Violeta;30,17;0;-30,17
AAA006613;Cinta Raso Dúo C. de Oro 8mm Negro;4,5;0;-4,5
AAA006618;Cinta Raso Vanessa Brooklyn 25mm Gris;2;0;-2
AAA006619;Cinta Raso Vanessa Brooklyn 25mm Negro;5;0;-5
AAA006623;Cinta Red Metalizada Sublime 39mm Brooklyn Rojo;8,5;0;-8,5
AAA006624;Cinta Reflectiva Flúo FB Amarillo;3,5;0;-3,5
AAA006625;Cinta Reflectiva Flúo FB Naranja;3;0;-3
AAA006628;Cinta Ribbonette 1cm x50mts. Amarillo Oro;3;0;-3
AAA006630;Cinta Ribbonette 1cm x50mts. Blanco;1,7;0;-1,7
AAA006631;Cinta Ribbonette 1cm x50mts. Celeste;4;0;-4
AAA006633;Cinta Ribbonette 1cm x50mts. Francia;4;0;-4
AAA006634;Cinta Ribbonette 1cm x50mts. Fucsia;2;0;-2
AAA006635;Cinta Ribbonette 1cm x50mts. Lila;1;0;-1
AAA006641;Cinta Ribbonette 1cm x50mts. Rojo;7;0;-7
AAA006643;Cinta Ribbonette 1cm x50mts. Rosa Dior;1;0;-1
AAA006645;Cinta Ribbonette 1cm x50mts. Verde Brillante;1;0;-1
AAA006646;Cinta Ribbonette 1cm x50mts. Verde Manzana;3;0;-3
AAA006649;Cinta Ribbonette 1cm xmts. Aguamarina;26;0;-26
AAA006651;Cinta Ribbonette 1cm xmts. Amarillo Oro;18,3;0;-18,3
AAA006653;Cinta Ribbonette 1cm xmts. Blanco;12;0;-12
AAA006654;Cinta Ribbonette 1cm xmts. Celeste;26,2;0;-26,2
AAA006656;Cinta Ribbonette 1cm xmts. Francia;35,2;0;-35,2
AAA006657;Cinta Ribbonette 1cm xmts. Fucsia;10;0;-10
AAA006658;Cinta Ribbonette 1cm xmts. Lila;33,9;0;-33,9
AAA006661;Cinta Ribbonette 1cm xmts. Naranja;15,7;0;-15,7
AAA006662;Cinta Ribbonette 1cm xmts. Negro;2;0;-2
AAA006664;Cinta Ribbonette 1cm xmts. Rojo;67,5;0;-67,5
AAA006665;Cinta Ribbonette 1cm xmts. Rosa Bebe;28,3;0;-28,3
AAA006666;Cinta Ribbonette 1cm xmts. Rosa Dior;6,6;0;-6,6
AAA006668;Cinta Ribbonette 1cm xmts. Verde Brillante;12,5;0;-12,5
AAA006669;Cinta Ribbonette 1cm xmts. Verde Manzana;20;0;-20
AAA006671;Cinta Ribbonette 1cm xmts. Violeta;14,9;0;-14,9
AAA006674;Cinta Ribbonette 2cm x50mts. Amarillo Oro;4;0;-4
AAA006676;Cinta Ribbonette 2cm x50mts. Blanco;3;0;-3
AAA006677;Cinta Ribbonette 2cm x50mts. Celeste;1;0;-1
AAA006678;Cinta Ribbonette 2cm x50mts.Naranja;1;0;-1
AAA006679;Cinta Ribbonette 2cm x50mts. Francia;2;0;-2
AAA006683;Cinta Ribbonette 2cm x50mts. Mostaza;1;0;-1
AAA006684;Cinta Ribbonette 2cm x25mts. Naranja;1;0;-1
AAA006685;Cinta Ribbonette 2cm x50mts;1;0;-1
AAA006687;Cinta Ribbonette 2cm x50mts. Rojo;5;0;-5
AAA006688;Cinta Ribbonette 2cm x25mts. Rosa Bebe;1;0;-1
AAA006689;Cinta Ribbonette 2cm x50mts. Rosa Dior;2;0;-2
AAA006691;Cinta Ribbonette 2cm x50mts. Verde Brillante;3;0;-3
AAA006692;Cinta Ribbonette 2cm x50mts. Verde Manzana;3,5;0;-3,5
AAA006694;Cinta Ribbonette 2cm x50mts. Violeta;2;0;-2
AAA006696;Cinta Ribbonette 2cm xmts. Amarillo Limón;6;0;-6
AAA006697;Cinta Ribbonette 2cm xmts. Amarillo Oro;64,45;0;-64,45
AAA006699;Cinta Ribbonette 2cm xmts. Blanco;16;0;-16
AAA006700;Cinta Ribbonette 2cm xmts. Celeste;27,93;0;-27,93
AAA006702;Cinta Ribbonette 2cm xmts. Francia;80,57;0;-80,57
AAA006703;Cinta Ribbonette 2cm xmts. Fucsia;0,5;0;-0,5
AAA006704;Cinta Ribbonette 2cm xmts. Lila;10,53;0;-10,53
AAA006707;Cinta Ribbonette 2cm xmts. Naranja;14,5;0;-14,5
AAA006708;Cinta Ribbonette 2cm xmts. Negro;1;0;-1
AAA006710;Cinta Ribbonette 2cm xmts. Rojo;80,26;0;-80,26
AAA006711;Cinta Ribbonette 2cm xmts. Rosa Bebe;33;0;-33
AAA006712;Cinta Ribbonette 2cm xmts. Rosa Dior;4,6;0;-4,6
AAA006714;Cinta Ribbonette 2cm xmts. Verde Brillante;6;0;-6
AAA006715;Cinta Ribbonette 2cm xmts. Verde Manzana;19,6;0;-19,6
AAA006716;Cinta Ribbonette 2cm xmts. Verde Oscuro;2;0;-2
AAA006717;Cinta Ribbonette 2cm xmts. Violeta;3;0;-3
AAA006719;Cinta Ribbonette 4cm x50mts. Amarillo Limón;1;0;-1
AAA006722;Cinta Ribbonette 4cm x25mts. Blanco;7;0;-7
AAA006725;Cinta Ribbonette 4cm x25mts. Francia;1;0;-1
AAA006727;Cinta Ribbonette 4cm x25mts. Lila;0;0;0
AAA006729;Cinta Ribbonette 4cm x50mts. Mostaza;1;0;-1
AAA006730;Cinta Ribbonette 4cm x50mts. Naranja;2;0;-2
AAA006734;Cinta Ribbonette 4cm x50mts. Rosa Bebe;1;0;-1
AAA006740;Cinta Ribbonette 4cm x25mts. Violeta;2;0;-2
AAA006743;Cinta Ribbonette 4cm xmts. Amarillo Oro;43,8;0;-43,8
AAA006745;Cinta Ribbonette 4cm xmts. Blanco;66,5;0;-66,5
AAA006746;Cinta Ribbonette 4cm xmts. Celeste;6;0;-6
AAA006748;Cinta Ribbonette 4cm xmts. Francia;16;0;-16
AAA006750;Cinta Ribbonette 4cm xmts. Lila;6;0;-6
AAA006756;Cinta Ribbonette 4cm xmts. Rojo;13,7;0;-13,7
AAA006758;Cinta Ribbonette 4cm xmts. Rosa Dior;11;0;-11
AAA006760;Cinta Ribbonette 4cm xmts. Verde Brillante;4;0;-4
AAA006763;Cinta Ribbonette 4cm xmts. Violeta;10;0;-10
AAA006764;Cinta San Antonio C. de Oro 15mm;3;0;-3
AAA006765;Cinta San Nicolas C. de Oro 45mm;15,44;0;-15,44
AAA006766;Cinta Santa C. de Oro 45mm;7,84;0;-7,84
AAA006767;Cinta Scotties Offray 39mm Blanco;16;0;-16
AAA006768;Cinta Scotties Offray 39mm Verde;11,02;0;-11,02
AAA006771;Cinta Silky Estrellas C. de Oro 23mm Rojo;1,6;0;-1,6
AAA006772;Cinta Silky Lingerie C. de Oro 65mm;2,5;0;-2,5
AAA006774;Cinta Silky Lunar Clown C. de Oro 23mm Blanco;2,5;0;-2,5
AAA006775;Cinta Silky Lunar Clown C. de Oro 23mm Rojo;1,5;0;-1,5
AAA006780;Cinta Silky Lunares C. de Oro 23mm Rojo;7;0;-7
AAA006782;Cinta Silky Rosal C. de Oro 23mm Blanco;1;0;-1
AAA006784;Cinta Sofia Brooklyn 25mm Azul;9,69;0;-9,69
AAA006785;Cinta Sofia Brooklyn 25mm Fucsia;6,74;0;-6,74
AAA006786;Cinta Sofia Brooklyn 25mm Verde;7,2;0;-7,2
AAA006787;Cinta Tacitas de Te C. de Oro 15mm;8,73;0;-8,73
AAA006792;Cinta Toldo C. de Oro 15mm Rosa Fluo;1;0;-1
AAA006794;Cinta Toldo Lurex C. de Oro 50mm Dorada;11,5;0;-11,5
AAA006795;Cinta Toldo Lurex C. de Oro 50mm Plateada;1,6;0;-1,6
AAA006798;Cinta Tren de la Selva C. de Oro 39mm;20,14;0;-20,14
AAA006806;Cinta Trigal C. de Oro 10mm Rojo;1,65;0;-1,65
AAA006808;Cinta Trigal C. de Oro 10mm Verde Brillante;8;0;-8
AAA006811;Cinta Troquelada Degradé C. de Oro 30mm Rosa;2,06;0;-2,06
AAA006812;Cinta Troquelada Estrella C. de Oro 10mm Aguamarina ;8;0;-8
AAA006814;Cinta Troquelada Estrella C. de Oro 10mm Celeste;1;0;-1
AAA006815;Cinta Troquelada Estrella C. de Oro 10mm Celeste Pastel;1,5;0;-1,5
AAA006819;Cinta Troquelada Estrella C. de Oro 10mm Rosa Bebe;3,07;0;-3,07
AAA006820;Cinta Troquelada Estrella C. de Oro 10mm Rosa Dior;4;0;-4
AAA006823;Cinta Troquelada Estrella C. de Oro 23mm Amarillo Fluo;1;0;-1
AAA006824;Cinta Troquelada Estrella C. de Oro 23mm Celeste;19,72;0;-19,72
AAA006828;Cinta Troquelada Estrella C. de Oro 23mm Rosa Bebe;1,36;0;-1,36
AAA006833;Cinta Troquelada Picot C. de Oro 25mm Blanco;24,94;0;-24,94
AAA006836;.;5,5;0;-5,5
AAA006837;Cinta Troquelada Sparkle C. de Oro 30mm Fucsia;4;0;-4
AAA006839;Cinta Troquelada Sparkle C. de Oro 30mm Verde Agua;1;0;-1
AAA006842;Cinta Troquelada Super Star C. de Oro 23mm Rosa Fluo;1,2;0;-1,2
AAA006843;Cinta Troquelada Super Star C. de Oro 23mm Verde Fluo;4,21;0;-4,21
AAA006844;Cinta Troquelada Vintage C. de Oro 30mm Celeste Claro;0,93;0;-0,93
AAA006846;Cinta Troquelada Vintage C. de Oro 50mm Celeste claro;2,1;0;-2,1
AAA006849;Cinta Unilunar C. de Oro 8mm Rosa;5,5;0;-5,5
AAA006850;Cinta Vehículos C. de Oro 15mm;0,5;0;-0,5
AAA006857;Cinta Velur Terciopelo Brooklyn 15mm Negro;4,92;0;-4,92
AAA006866;Cinta Virginia C. de Oro Celeste, turquesa y azul;2,5;0;-2,5
AAA006868;Cinta Wire Rosetta Offray Ribbon 39mm;1,4;0;-1,4
AAA006870;Cinta Zoo Babies C. de Oro 23mm Rosa;2,5;0;-2,5
AAA006871;Cinta Zoo Brooklyn 30mm Marrón;1,6;0;-1,6
AAA006872;Cinta Zoo Brooklyn 30mm Multicolor;3;0;-3
AAA006873;Cinta Zoo Brooklyn 30mm Rosado;1;0;-1
AAA006874;Cinta Zoo Kids C. de Oro 23mm;2,5;0;-2,5
AAA006876;Cinta Zoolandia C. de Oro 19mm;4,5;0;-4,5
AAA006881;Clasificador The-Phel 14x26cm Negro;1;0;-1
AAA006886;Clasificador The-Phel Oficio Azul;2;0;-2
AAA006889;Clasificador The-Phel Oficio Negro;2;0;-2
AAA006891;Clasificador The-Phel Oficio Verde;1;0;-1
AAA006894;Clips de Madera Fantasía Mariposa;6;0;-6
AAA006895;Clips de Madera Fantasia Mariquita ;1;0;-1
AAA006897;Clips Forrados de Color Sifap Nº 3;2;0;-2
AAA006898;Clips Invisibles Largos p/Cabello Beige Claro;73;0;-73
AAA006899;Clips Invisibles Largos p/Cabello Negro;270;0;-270
AAA006900;Clips Invisibles p/Cabello Beige Claro;166;0;-166
AAA006901;Clips Invisibles p/Cabello Negro;527;0;-527
AAA006902;Clips Metálicos  Sifap N° 4;8;0;-8
AAA006903;Clips Metálicos Olami N° 7;3;0;-3
AAA006904;Clips Metálicos Olami N° 5;27;0;-27
AAA006905;Clips Metálicos Sifap N° 3;33;0;-33
AAA006906;Cofre Porta Valores Olami ;1;0;-1
AAA006907;Cola Blanca Pva Extra Efren Lopez ;14;0;-14
AAA006908;Cola de Rata x metro Blanco;20,8;0;-20,8
AAA006909;Cola de Rata x metro Negro;20,5;0;-20,5
AAA006912;Combo carpeta N° 3+Hojas Cuadriculadas;5;0;-5
AAA006915;Combo Coloreando Edición Navidad MLR;36;0;-36
AAA006916;Combo Crochet;1;0;-1
AAA006917;Combo Diviertete Coloreando MLR;3;0;-3
AAA006918;Combo Gomitas p/Cabello;134;0;-134
AAA006919;Combo Lápiz+Marcador+Boligrafo ;1;0;-1
AAA006920;Teclado Noga Conexion USB NKB-78033;1;0;-1
AAA006921;Combo Teclado + mouse Usb Logitech Mk 120;2;0;-2
AAA006922;Compas Ezco c/mina ;12;0;-12
AAA006923;Compas Keyroad Flow c/mina;14;0;-14
AAA006925;Compas Maped c/mina ;9;0;-9
AAA006926;Compas Maped Kid´z c/lápiz;121;0;-121
AAA006928;Compas Plantec 9100;5;0;-5
AAA006929;Compas Plantec 9101;7;0;-7
AAA006931;Comprobante de Caja Taloffice 409;33;0;-33
AAA006932;Constancia de Alumno Regular;567;0;-567
AAA006933;Constancia de Extravio;1;0;-1
AAA006934;Constitución de la Nación Argentina Nueva Edición Beeme;9;0;-9
AAA006936;Constitución de la Nación Argentina Zeta Ediciones ;10;0;-10
AAA006937;Contrato de Locación Igneo, Ley 23.091;5;0;-5
AAA006938;Copos de Goma Espuma x250grs.;25;0;-25
AAA006941;Cordón Asargado C. de Oro Blanco;6,65;0;-6,65
AAA006943;Cordón Asargado C. de Oro Hilera;2,5;0;-2,5
AAA006944;Cordón Asargado C. de Oro Natural;5,84;0;-5,84
AAA006945;Cordón Asargado C. de Oro Negro;9,67;0;-9,67
AAA006947;Cordón Asargado C. de Oro Rosa Fluo;7;0;-7
AAA006949;Cordón c/alambre Brooklyn Oro;6;0;-6
AAA006950;Cordón c/alambre Brooklyn Plata;6,15;0;-6,15
AAA006951;Cordón Chato 100 cm Beige;7;0;-7
AAA006952;Cordón Chato c/Brillo 100 cm Beige;6;0;-6
AAA006953;Cordón Chato EL MOÑO 110cm Flúo Amarillo ;1;0;-1
AAA006955;Cordón Chato p/zapatilla Blanco 120 cm 1164.120;62;0;-62
AAA006956;Cordón Chato p/zapatilla Blanco 60 cm 1164.060;34;0;-34
AAA006957;Cordón Chato p/zapatilla Blanco 90 cm 1164.090;54;0;-54
AAA006960;Cordón Chato p/zapatilla Color 120 cm 1164.120C Chocolate;1;0;-1
AAA006961;Cordón Chato p/zapatilla Color 120 cm 1164.120C Francia;1;0;-1
AAA006964;Cordón Chato p/zapatilla Color 120 cm 1164.120C Marino;4;0;-4
AAA006966;Cordón Chato p/zapatilla Color 120 cm 1164.120C Rojo;8;0;-8
AAA006967;Cordón Chato p/zapatilla Color 120 cm 1164.120C Rosa Bebe;11;0;-11
AAA006970;Cordón Chato p/zapatilla Color 60 cm 1164.060C Chocolate;3;0;-3
AAA006971;Cordón Chato p/zapatilla Color 60 cm 1164.060C Francia;3;0;-3
AAA006974;Cordon Chato p/zapatilla Color 60 cm 1164.060C Marino;1;0;-1
AAA006975;Cordón Chato p/zapatilla Color 60 cm 1164.060C Naranja;2;0;-2
AAA006976;Cordón Chato p/zapatilla Color 60 cm 1164.060C Rojo;6;0;-6
AAA006977;Cordón Chato p/zapatilla Color 60 cm 1164.060C Rosa Bebe;14;0;-14
AAA006978;Cordón Chato p/zapatilla Color 90 cm 1164.090C Beige Medio;17;0;-17
AAA006980;Cordón Chato p/zapatilla Color 90 cm 1164.090C Chocolate;9;0;-9
AAA006981;Cordón Chato p/zapatilla Color 90 cm 1164.090C Francia;4;0;-4
AAA006982;Cordón Chato p/zapatilla Color 90 cm 1164.090C Fucsia;11;0;-11
AAA006983;Cordón Chato p/zapatilla Color 90 cm 1164.090C Gris Medio;18;0;-18
AAA006984;Cordon Chato p/zapatilla Color 90 cm 1164.090C Marino;1;0;-1
AAA006988;Cordón Chato p/zapatilla Negro 120 cm 1164.120;76;0;-76
AAA006989;Cordón Chato p/zapatilla Negro 60 cm 1164.060;35;0;-35
AAA006990;Cordón Chato p/zapatilla Negro 90 cm 1164.090;85;0;-85
AAA006992;Cordón Comunión Trenzado Imperial D´Moda 2102;3;0;-3
AAA006993;Cordon de Seda Arco Iris Amarillo Oro;6,6;0;-6,6
AAA006995;Cordon de Seda Arco Iris Blanco;34,67;0;-34,67
AAA006999;Cordon de Seda Arco Iris Francia;6,5;0;-6,5
AAA007000;Cordon de Seda Arco Iris Fucsia;2;0;-2
AAA007003;Cordon de Seda Arco Iris Naranja;1;0;-1
AAA007004;Cordon de Seda Arco Iris Natural;1;0;-1
AAA007005;Cordon de Seda Arco Iris Negro;15,7;0;-15,7
AAA007006;Cordon de Seda Arco Iris Rojo;6,85;0;-6,85
AAA007007;Cordon de Seda Arco Iris Rosa Bebe;5,5;0;-5,5
AAA007010;Cordon de Seda Arco Iris Turquesa;70,6;0;-70,6
AAA007011;Cordon de Seda Arco Iris Verde Brillante;1;0;-1
AAA007014;Cordon de Yute Corona x50mts.;10;0;-10
AAA007019;Cordon Diamante C. de Oro Rosa Fluo;1,5;0;-1,5
AAA007020;Cordón Diamante C. de Oro Verde Fluo;2;0;-2
AAA007021;Cordón Fino Brooklyn Oro;71,67;0;-71,67
AAA007022;Cordón Fino Brooklyn Plata;35,5;0;-35,5
AAA007023;Cordón Grueso Brooklyn Oro;264,95;0;-264,95
AAA007024;Cordón Grueso Brooklyn Plata;161,2;0;-161,2
AAA007025;Cordon Navidad Trinidad C. de Oro;23,71;0;-23,71
AAA007026;Cordón Polipropileno x metro Amarillo Oro;30;0;-30
AAA007027;Cordón Polipropileno x metro Beige Medio;2;0;-2
AAA007028;Cordón Polipropileno x metro Blanco;300,83;0;-300,83
AAA007029;Cordón Polipropileno x metro Azul Francia;20,12;0;-20,12
AAA007030;Cordón Polipropileno x metro Celeste;56,55;0;-56,55
